nome_descricao,Part_Number,data_adicao;
Velas Originais Jac,1026080GG013,2019-02-28;
Filtro de Combustível,1105100U2090,2019-02-28;
Filtro de Ar,1109120U2010,2019-02-28;
Pastilha de freio,5810129A30,2019-02-28;
Bomba de Combustível Completa,1106010U8010,2019-02-28;
Valvula Termostática,1041200GG010,2019-02-28;
Flange da Válvula Termostática,1041011GG010,2019-02-28;
Lampada seta indicadora do retrovisor,8173006060,2019-02-28;
Farol de Neblina esquerdo,4116100U7101,2019-02-28;
Farol de Neblina direito,4116200U7101,2019-03-02;
Nao sei,3550400U2230,2019-02-28;
Bomba de água,1041100gg010,2019-02-28;
Motor Esguicho Limpador de Parabrisas dianteiro,5207100U8010,2019-02-28;
Maquina de Vidro dianteira direita ,6104120U7101,2019-02-28;
Maquina de Vidro dianteira esquerda,6104110U7101,2019-02-28;
Máquina de Vidro Traseira esquerda,6204110U2010,2019-02-28;
Máquina de Vidro Traseira direita,6204120U2010,2019-02-28;
Batente do amortecedor dianteiro,2905120U2010,2019-02-28;
Pedal do acelerador, 1108200U8014,2019-02-28;
Interruptor do freio,1635206U8014,2019-02-28;
Compressor do ar condicionado,8104010U8160,2019-02-28;
Barra estabilizadora dianteira,2906100U2010,2019-02-28;
Kit Embreagem,1601100U8010,2019-02-28;
Filtro de Ar condicionado/ Filtro de Cabine,S8100L2200050001,2019-02-28;
Bobina de Ignição,1026090GG010,2019-03-01;
Moldura 2din Painel Multimedia,CARAV 11-301,2019-03-01;
Botão do rádio do volante,3750220U1581,2019-03-02;
Botões da janela e trava da porta do motorista,3750200U2010,2019-03-02;
Caixa do filtro de ar do motor,1109100U7020,2019-03-02;
Odômetro sensor de velocidade,S1700L2106940081,2019-03-02;
Cilindro Mestre da Embreagem,1607010U7101,2019-03-02;
Kit Corrente de comando,1021200GG010,2019-03-02;
Mangueira do Radiador,1303101U7020,2019-03-02;
Cabo de abertura do tanque de combustível,1103300U2010,2019-03-02;
Alternador,S1043L21153-50001,2019-03-02;
Válvula de exaustão,S1007L21153-50010,2019-03-02;
Vávula de exaustão,S1007L21153-50011,2019-03-02;
Puxador de mão de porta interno direito traseira, 6205160U7101,2019-03-02;
Puxador de mão de porta interno esquerda traseira,6205150U7101,2019-03-02;
Puxador de mão de porta interno direito dianteira,6105160U7101,2019-03-02;
Puxador de mão de porta interno esquerdo dianteira,6105150U7101,2019-03-02;
Eixo de comando de vávula,S1007L21153-50015,2019-03-02;
Eixo de comando de vávula,S1007L21153-50014,2019-03-02;
Eixo do Virabrequim,S1005L21153-50003,2019-03-02;
Biela,S1004L21153-50001,2019-03-02;
Anéis do pistão,S1004L21153-50006,2019-03-02;
Junta do cabeçote,S1002L21153-50006,2019-03-02;
Condensador,8105010U7054,2019-03-02;
Rolamento de cubo traseiro,3104110U2011,2019-03-02;
Rolamento de cubo dianteiro,3103110U2011,2019-03-02;
Cilindro de freio com reservatório de freio,3500312U2010,2019-03-02;
Injetor de combustível,S1042L21153-50003,2019-03-02;
Sensor de temperatura da agua,1026L21153-00013,2019-03-02;
Sensor de temperatura e pressão,S1008L21153-51011,2019-03-02;
Sonda Lambda Pós catalisador sensor de oxigênio,1206100U2010,2019-03-02;
Sonda Lambda Pré catalisador sensor de oxigênio,S1044L21153-00008,2019-03-02;
Motor de arranque,S1015L21153-00018,2019-03-02;
Disco de freio frontal,3500027U2010,2019-03-02;
Amortecedor dianteiro esquerdo,2905110U7101,2019-03-02;
Amortecedor dianteiro direito,2905210U7101,;
Amortecedor traseiro esquerdo,2915210U7101XZ,2019-03-02;
Amortecedor traseiro direito,2915110U7101,2019-03-02;
Bandeja da suspensão direito,2904200U2010,2019-03-02;
Bandeja da suspensão esquerdo,2904100U2010,2019-03-02;
Disco de embreagem,1600200U7101,2019-03-02;
Platô da embreagem,1601100U8020,2019-03-02;
Rolamento da embreagem,S1700L21069-80017,2019-03-02;
Radiador,1301100U7054,2019-03-02;
Logo da Jac,2803250U2010,2019-03-02;
Pastilha de Freio traseira,S3500L21167-50024,2019-03-02;
Cabeçote,S1003L21153-50001,2019-03-02;
Compressor do ar condicionado,8104010U2010,2019-03-02;
Cooler do radiador,1308100U1010XZ,2019-03-02;
Retrovisor esquerdo,8210100U7101,2019-03-02;
Retrovisor direito,8210200U7101,2019-03-02;





